Sport,Gender,Event,Medal,Team
Sailing,M,Open Class,BRONZE,France
Sailing,M,_ Ton Class - Race 1,GOLD,France
Sailing,M,_ Ton Class - Race 1,SILVER,France
Sailing,M,_ Ton Class - Race 1,BRONZE,France
Sailing,M,_ Ton Class - Race 2,GOLD,France
Sailing,M,_ Ton Class - Race 2,SILVER,France
Sailing,M,_ Ton Class - Race 2,BRONZE,France
Sailing,M,_-1 Ton Class - I,GOLD,France
Sailing,M,_-1 Ton Class - I,SILVER,France
Sailing,M,_-1 Ton Class - I,BRONZE,France
Sailing,M,_-1 Ton Class - II,GOLD,Great Britain
Sailing,M,_-1 Ton Class - II,SILVER,France
Sailing,M,_-1 Ton Class - II,BRONZE,France
Sailing,M,1-2 Ton Class - Race 1,GOLD,Switzerland
Sailing,F,1-2 Ton Class - Race 1,GOLD,Switzerland
Sailing,M,1-2 Ton Class - Race 1,SILVER,France
Sailing,M,1-2 Ton Class - Race 1,BRONZE,France
Sailing,M,1-2 Ton Class - Race 2,GOLD,Germany
Sailing,M,1-2 Ton Class - Race 2,SILVER,Switzerland
Sailing,F,1-2 Ton Class - Race 2,SILVER,Switzerland
Sailing,M,1-2 Ton Class - Race 2,BRONZE,France
Sailing,M,2-3 Ton Class - Race 1,GOLD,France
Sailing,M,2-3 Ton Class - Race 1,GOLD,Great Britain
Sailing,M,2-3 Ton Class - Race 1,SILVER,France
Sailing,M,2-3 Ton Class - Race 1,BRONZE,France
Sailing,M,2-3 Ton Class - Race 2,GOLD,France
Sailing,M,2-3 Ton Class - Race 2,GOLD,Great Britain
Sailing,M,2-3 Ton Class - Race 2,SILVER,France
Sailing,M,2-3 Ton Class - Race 2,BRONZE,France
Sailing,M,3-10 Ton Class - Race 1,GOLD,France
Sailing,M,3-10 Ton Class - Race 1,SILVER,Netherlands
Sailing,M,3-10 Ton Class - Race 1,BRONZE,France
Sailing,M,3-10 Ton Class - Race 2,GOLD,Great Britain
Sailing,M,3-10 Ton Class - Race 2,SILVER,France
Sailing,M,3-10 Ton Class - Race 2,BRONZE,United States
Sailing,M,10-20 Ton Class,GOLD,France
Sailing,M,10-20 Ton Class,SILVER,France
Sailing,M,10-20 Ton Class,BRONZE,Great Britain
Sailing,M,20+ Ton Class,GOLD,Great Britain
Sailing,M,20+ Ton Class,SILVER,Great Britain
Sailing,M,20+ Ton Class,BRONZE,United States
Shooting,M,25m Rapid-Fire Pistol,GOLD,France
Shooting,M,25m Rapid-Fire Pistol,SILVER,France
Shooting,M,25m Rapid-Fire Pistol,BRONZE,France
Shooting,M,50m Free Pistol,GOLD,Switzerland
Shooting,M,50m Free Pistol,SILVER,France
Shooting,M,50m Free Pistol,BRONZE,Switzerland
Shooting,M,50m Free Pistol Team,GOLD,Switzerland
Shooting,M,50m Free Pistol Team,SILVER,France
Shooting,M,50m Free Pistol Team,BRONZE,Netherlands
Shooting,M,300m Free Rifle Kneeling,GOLD,Switzerland
Shooting,M,300m Free Rifle Kneeling,SILVER,Switzerland
Shooting,M,300m Free Rifle Kneeling,SILVER,Denmark
Shooting,M,300m Free Rifle Prone,GOLD,France
Shooting,M,300m Free Rifle Prone,SILVER,Denmark
Shooting,M,300m Free Rifle Prone,BRONZE,Norway
Shooting,M,300m Free Rifle Standing,GOLD,Denmark
Shooting,M,300m Free Rifle Standing,SILVER,Norway
