Sport,Gender,Event,Athlete,Medal,Team
Shooting,M,200m Military Rifle,Nikolaos Trikoupis,BRONZE,Greece
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions",Georgios Orfanidis,GOLD,Greece
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions",Ioannis Fragoudis,SILVER,Greece
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions",Viggo Jensen,BRONZE,Denmark
,,,,,
Swimming,M,100m Freestyle,Alfréd Hajós,GOLD,Hungary
,,,,,
Swimming,M,100m Freestyle,Otto Herschmann,SILVER,Austria
,,,,,
Swimming,M,100m Freestyle for Sailors,Ioannis Malokinis,GOLD,Greece
,,,,,
Swimming,M,100m Freestyle for Sailors,Spyros Chasapis,SILVER,Greece
,,,,,
Swimming,M,100m Freestyle for Sailors,Dimitrios Drivas,BRONZE,Greece
,,,,,
Swimming,M,500m Freestyle ,Paul Neumann,GOLD,Austria
,,,,,
Swimming,M,500m Freestyle ,Antonios Pepanos,SILVER,Greece
,,,,,
Swimming,M,500m Freestyle ,Efstathios Chorafas,BRONZE,Greece
,,,,,
Swimming,M,1200m Freestyle ,Alfréd Hajós,GOLD,Hungary
,,,,,
Swimming,M,1200m Freestyle ,Ioannis Andreou,SILVER,Greece
,,,,,
Swimming,M,1200m Freestyle ,Efstathios Chorafas,BRONZE,Greece
,,,,,
Tennis,M,Singles,John Boland,GOLD,Great Britain
,,,,,
Tennis,M,Singles,Dionyssios Kasdaglis,SILVER,Greece
,,,,,
Tennis,M,Singles,Konstantinos Paspatis,BRONZE,Greece
,,,,,
Tennis,M,Singles,Momcsilló Topavicza,BRONZE,Hungary
,,,,,
Tennis,M,Doubles,John Boland,GOLD,Great Britain
,,,,,
Tennis,M,Doubles,Fritz Traun,GOLD,Germany
,,,,,
Tennis,M,Doubles,Dionyssios Kasdaglis,SILVER,Egypt
,,,,,
Tennis,M,Doubles,Dimitris Petrokokkinos,SILVER,Greece
,,,,,
Tennis,M,Doubles,George Robertson,BRONZE,Australia
,,,,,
Tennis,M,Doubles,Teddy Flack,BRONZE,Great Britain
,,,,,
Weightlifting,M,Heavyweight,Viggo Jensen,GOLD,Denmark
,,,,,
Weightlifting,M,Heavyweight,Launceston Elliot,SILVER,Great Britain
,,,,,
Weightlifting,M,Heavyweight,Sotiris Versis,BRONZE,Greece
,,,,,
Weightlifting,M,Heavyweight(one hand),Launceston Elliot,GOLD,Great Britain
,,,,,
Weightlifting,M,Heavyweight(one hand),Viggo Jensen,SILVER,Denmark
,,,,,
Weightlifting,M,Heavyweight(one hand),Alexandros Nikolopoulos,BRONZE,Greece
,,,,,
Wrestling,M,Greco-Roman Heavyweight,Carl Schuhmann,GOLD,Germany
,,,,,
Wrestling,M,Greco-Roman Heavyweight,Georgios Tsitas,SILVER,Greece
,,,,,
Wrestling,M,Greco-Roman Heavyweight,Stephanos Khristopoulos,BRONZE,Greece
,,,,,
Archery,M,Au chapelet 33m,Hubert van Innis,GOLD,Belgium
,,,,,
Archery,M,Au chapelet 33m,Victor Thibaud,SILVER,France
,,,,,
Archery,M,Au chapelet 33m,Charles-Frédéric Petit,BRONZE,France
,,,,,
Archery,M,Au chapelet 50m,Eugène Mougin,GOLD,France
,,,,,
Archery,M,Au chapelet 50m,Henri Helle,SILVER,France
,,,,,
Archery,M,Au chapelet 50m,Emile Mercier,BRONZE,France
,,,,,
Archery,M,Au cordon doré 33m,Hubert van Innis,GOLD,Belgium
,,,,,
Archery,M,Au cordon doré 33m,Victor Thibaud,SILVER,France
,,,,,
Archery,M,Au cordon doré 33m,Charles-Frédéric Petit,BRONZE,France
,,,,,
Archery,M,Au cordon doré 50m,Henri Herouin,GOLD,France
,,,,,
Archery,M,Au cordon doré 50m,Hubert van Innis,SILVER,Belgium
,,,,,
Archery,M,Au cordon doré 50m,Emile Fisseux,BRONZE,France
,,,,,
Archery,M,Championnat Du Monde,Henri Hérouin,GOLD,France
,,,,,
Archery,M,Championnat Du Monde,Hubert Van Innis,SILVER,Belgium
,,,,,
Archery,M,Sur la perche á la herse,Emmanuel Foulon,GOLD,Belgium
,,,,,
Archery,M,Sur la perche á la herse,Auguste Serrurier,SILVER,France
,,,,,
Archery,M,Sur la perche á la herse,Emile Druart,SILVER,Belgium
,,,,,
Archery,M,Sur la perche á la pyramide,Emile Grumiaux,GOLD,France
,,,,,
Archery,M,Sur la perche á la pyramide,Auguste Serrurier,SILVER,France
,,,,,
Archery,M,Sur la perche á la pyramide,Louis Glinaux,BRONZE,Belgium
,,,,,
Athletics,M,60m,Alvin Kraenzlein,GOLD,United States
,,,,,
Athletics,M,60m,Walter Tewksbury,SILVER,United States
,,,,,
Athletics,M,60m,Stan Rowley,BRONZE,Australia
,,,,,
Athletics,M,100m,Frank Jarvis,GOLD,United States
,,,,,
Athletics,M,100m,Walter Tewksbury,SILVER,United States
,,,,,
Athletics,M,100m,Stan Rowley,BRONZE,Australia
,,,,,
Athletics,M,200m,Walter Tewksbury,GOLD,United States
,,,,,
Athletics,M,200m,Norman Pritchard,SILVER,British India
,,,,,
Athletics,M,200m,Stan Rowley,BRONZE,Australia
,,,,,
Athletics,M,400m,Maxey Long,GOLD,United States
,,,,,
Athletics,M,400m,William Holland,SILVER,United States
,,,,,
Athletics,M,400m,Ernst Schultz,BRONZE,Denmark
,,,,,
Athletics,M,800m,Alfred Tysoe,GOLD,Great Britain
,,,,,
Athletics,M,800m,John Cregan,SILVER,United States
,,,,,
Athletics,M,800m,Dave Hall,BRONZE,United States
,,,,,
Athletics,M,1500m,Charles Bennett,GOLD,Great Britain
,,,,,
Athletics,M,1500m,Henri Deloge,SILVER,France
,,,,,
Athletics,M,1500m,John Bray,BRONZE,United States
,,,,,
Athletics,M,2500m Steeplechase,George Orton,GOLD,Canada
,,,,,
Athletics,M,2500m Steeplechase,Sidney Robinson,SILVER,Great Britain
,,,,,
Athletics,M,2500m Steeplechase,Jacques Chastanié,BRONZE,France
,,,,,
Athletics,M,4000m Steeplechase,John Rimmer,GOLD,Great Britain
,,,,,
Athletics,M,4000m Steeplechase,Charles Bennett,SILVER,Great Britain
,,,,,
Athletics,M,4000m Steeplechase,Sidney Robinson,BRONZE,Great Britain
,,,,,
Athletics,M,Marathon,Michel Théato,GOLD,France
,,,,,
Athletics,M,Marathon,Emile Champion,SILVER,France
,,,,,
Athletics,M,Marathon,Ernst Fast,BRONZE,Sweden
,,,,,
Athletics,M,110m Hurdles,Alvin Kraenzlein,GOLD,United States
,,,,,
Athletics,M,110m Hurdles,John McLean,SILVER,United States
,,,,,
Athletics,M,110m Hurdles,Fred Moloney,BRONZE,United States
,,,,,
Athletics,M,200m Hurdles,Alvin Kraenzlein,GOLD,United States
,,,,,
Athletics,M,200m Hurdles,Norman Pritchard,SILVER,British India
,,,,,
