Sport,Gender,Event,Athlete,Medal,Team
,,,,,
Ice Hockey,M,Ice Hockey,Leo Gudas,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Miroslav Horava,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Petr Hrbek,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Otakar Janecky,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Tomás Jelínek,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Drahomír Kadlec,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Kamil Kasták,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Robert Lang,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Igor Liba,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Ladislav Lubina,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Bedrich Scerban,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Jirí Slégr,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Richard Smehlík,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Robert Svehla,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Oldwich Svoboda,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Radek Toupal,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Petr Veselovsky,BRONZE,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Richard Zemlicka,BRONZE,Czech Republic
,,,,,
Judo,M,Extra Lightweight,Nazim Guseynov,GOLD,Soviet Union
,,,,,
Judo,M,Extra Lightweight,Hyun Yoon,SILVER,South Korea
,,,,,
Judo,M,Extra Lightweight,Richard Trautmann,BRONZE,Germany
,,,,,
Judo,M,Extra Lightweight,Tadanori Koshino,BRONZE,Japan
,,,,,
Judo,F,Extra Lightweight,Cécile Nowak,GOLD,France
,,,,,
Judo,F,Extra Lightweight,Ryoko Tani,SILVER,Japan
,,,,,
Judo,F,Extra Lightweight,Amarilis Savón,BRONZE,Cuba
,,,,,
Judo,F,Extra Lightweight,Hulya Senyurt,BRONZE,Turkey
,,,,,
Judo,M,Half Lightweight,Rogério Sampaio,GOLD,Hungary
,,,,,
Judo,M,Half Lightweight,József Csák,SILVER,Hungary
,,,,,
Judo,M,Half Lightweight,Udo Quellmalz,BRONZE,Germany
,,,,,
Judo,M,Half Lightweight,Israel Hernández,BRONZE,Cuba
,,,,,
Judo,F,Half Lightweight,Almudena Muñoz,GOLD,Spain
,,,,,
Judo,F,Half Lightweight,Noriko Mizoguchi,SILVER,Japan
,,,,,
Judo,F,Half Lightweight,Zhongyun Li,BRONZE,China
,,,,,
Judo,F,Half Lightweight,Sharon Rendle,BRONZE,Great Britain
,,,,,
Judo,M,Lightweight,Toshihiko Koga,GOLD,Japan
,,,,,
Judo,M,Lightweight,Bertalan Hajtós,SILVER,Hungary
,,,,,
Judo,M,Lightweight,Hoon Chung,BRONZE,South Korea
,,,,,
Judo,M,Lightweight,Shay Oren Smadga,BRONZE,Israel
,,,,,
Judo,F,Lightweight,Miriam Blasco,GOLD,Spain
,,,,,
Judo,F,Lightweight,Nicola Fairbrother,SILVER,Great Britain
,,,,,
Judo,F,Lightweight,Driulis González,BRONZE,Cuba
,,,,,
Judo,F,Lightweight,Chivori Tateno,BRONZE,Cuba
,,,,,
Judo,M,Half Middleweight,Hidehiko Yoshida,GOLD,Japan
,,,,,
Judo,M,Half Middleweight,Jason Morris,SILVER,United States
,,,,,
Judo,M,Half Middleweight,Byung-Joo Kim,BRONZE,South Korea
,,,,,
Judo,M,Half Middleweight,Bertrand Damaisin,BRONZE,France
,,,,,
Judo,F,Half Middleweight,Catherine Fleury-Vachon,GOLD,France
,,,,,
Judo,F,Half Middleweight,Yael Arad,SILVER,Israel
,,,,,
Judo,F,Half Middleweight,Yelena Petrova,BRONZE,Soviet Union
,,,,,
Judo,F,Half Middleweight,Di Zhang,BRONZE,China
,,,,,
Judo,M,Middleweight,Waldemar Legien,GOLD,Poland
,,,,,
Judo,M,Middleweight,Pascal Tayot,SILVER,France
,,,,,
Judo,M,Middleweight,Hirotaka Okada,BRONZE,Japan
,,,,,
Judo,M,Middleweight,Nicolas Gill,BRONZE,Canada
,,,,,
Judo,F,Middleweight,Odalis Revé,GOLD,Cuba
,,,,,
Judo,F,Middleweight,Emanuela Pierantozzi,SILVER,Italy
,,,,,
Judo,F,Middleweight,Kate Howey,BRONZE,Great Britain
,,,,,
Judo,F,Middleweight,Heidi Rakels,BRONZE,Belgium
,,,,,
Judo,M,Half Heavyweight,Antal Kovács,GOLD,Hungary
,,,,,
Judo,M,Half Heavyweight,Raymond Stevens,SILVER,Great Britain
,,,,,
Judo,M,Half Heavyweight,Dmitry Sergeyev,BRONZE,Soviet Union
,,,,,
Judo,M,Half Heavyweight,Theo Meijer,BRONZE,Netherlands
,,,,,
Judo,F,Half Heavyweight,Mi-Jung Kim,GOLD,South Korea
,,,,,
Judo,F,Half Heavyweight,Yoko Tanabe,SILVER,Japan
,,,,,
Judo,F,Half Heavyweight,Laetitia Meignan,BRONZE,France
,,,,,
Judo,F,Half Heavyweight,Irene de Kok,BRONZE,Netherlands
,,,,,
Judo,M,Heavyweight,David Khakhaleishvili,GOLD,Soviet Union
,,,,,
Judo,M,Heavyweight,Naoya Ogawa,SILVER,Japan
,,,,,
Judo,M,Heavyweight,Imre Csõsz,BRONZE,Hungary
,,,,,
Judo,M,Heavyweight,David Douillet,BRONZE,France
,,,,,
Judo,F,Heavyweight,Xiaoyan Zhuang,GOLD,China
,,,,,
Judo,F,Heavyweight,Estela Rodríguez,SILVER,Cuba
,,,,,
Judo,F,Heavyweight,Natalina Lupino,BRONZE,France
,,,,,
Judo,F,Heavyweight,Yoko Sakaue,BRONZE,Japan
,,,,,
Luge,M,Singles,Georg Hackl,GOLD,Germany
,,,,,
Luge,M,Singles,Markus Prock,SILVER,Austria
,,,,,
Luge,M,Singles,Markus Schmidt,BRONZE,Austria
,,,,,
Luge,F,Singles,Doris Neuner,GOLD,Austria
,,,,,
Luge,F,Singles,Angelika Neuner,SILVER,Austria
,,,,,
Luge,F,Singles,Susi Erdmann,BRONZE,Germany
,,,,,
Luge,M,Doubles,Jan Behrendt,GOLD,Germany
,,,,,
Luge,M,Doubles,Stefan Krauße,GOLD,Germany
,,,,,
Luge,M,Doubles,Yves Mankel,SILVER,Germany
,,,,,
Luge,M,Doubles,Thomas Rudolph,SILVER,Germany
,,,,,
Luge,M,Doubles,Norbert Huber,BRONZE,Italy
,,,,,
Luge,M,Doubles,Hansjörg Raffl,BRONZE,Italy
,,,,,
Modern Pentathlon,M,Individual,Arkadiusz Skrzypaszek,GOLD,Poland
,,,,,
Modern Pentathlon,M,Individual,Attila Mizsér,SILVER,Hungary
,,,,,
Modern Pentathlon,M,Individual,Eduard Zenovka,BRONZE,Soviet Union
,,,,,
Modern Pentathlon,M,Team,Arkadiusz Skrzypaszek,GOLD,Poland
,,,,,
Modern Pentathlon,M,Team,Dariusz Gozdziak,GOLD,Poland
,,,,,
Modern Pentathlon,M,Team,Maciej Czyzowicz,GOLD,Poland
,,,,,
Modern Pentathlon,M,Team,Eduard Zenovka,SILVER,Soviet Union
,,,,,
Modern Pentathlon,M,Team,Anatoly Starostin,SILVER,Soviet Union
,,,,,
Modern Pentathlon,M,Team,Dmitry Svatkovsky,SILVER,Soviet Union
,,,,,
Modern Pentathlon,M,Team,Carlo Massulo,BRONZE,Italy
,,,,,
Modern Pentathlon,M,Team,Roberto Bomprezzi,BRONZE,Italy
,,,,,
Modern Pentathlon,M,Team,Gianluca Tiberti,BRONZE,Italy
,,,,,
Nordic Combined,M,Individual (15km+Jump),Fabrice Guy,GOLD,France
,,,,,
Nordic Combined,M,Individual (15km+Jump),Sylvain Guillaume,SILVER,France
,,,,,
Nordic Combined,M,Individual (15km+Jump),Klaus Sulzenbacher,BRONZE,Austria
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Takanori Kono,GOLD,Japan
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Reiichi Mikato,GOLD,Japan
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Kenji Ogiwara,GOLD,Japan
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Trond Einar Elden,SILVER,Norway
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Fred Borre Lundberg,SILVER,Norway
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Knut Apeland,SILVER,Norway
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Klaus Sulzenbacher,BRONZE,Austria
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Stefan Kreiner,BRONZE,Austria
,,,,,
Nordic Combined,M,Team (3x10km+Jump),Klaus Ofner,BRONZE,Austria
,,,,,
Rhythmic Gymnastics,F,Individual All-Around,Alexandra Timoshenko,GOLD,Soviet Union
,,,,,
Rhythmic Gymnastics,F,Individual All-Around,Carolina Pascual,SILVER,Spain
,,,,,
Rhythmic Gymnastics,F,Individual All-Around,Oksana Skaldina,BRONZE,Soviet Union
,,,,,
Rowing,M,Single Sculls,Thomas Lange,GOLD,Germany
,,,,,
Rowing,M,Single Sculls,Václav Chalupa,SILVER,Czechoslovakia
,,,,,
Rowing,M,Single Sculls,Kajetan Broniewski,BRONZE,Poland
,,,,,
Rowing,F,Single Sculls,Elisabeta Lipa,GOLD,Romania
,,,,,
Rowing,F,Single Sculls,Annelies Bredael,SILVER,Belgium
,,,,,
Rowing,F,Single Sculls,Silken Laumann,BRONZE,Canada
,,,,,
Rowing,M,Double Sculls,Peter Antonie,GOLD,Australia
,,,,,
Rowing,M,Double Sculls,Stephen Hawkins,GOLD,Australia
,,,,,
Rowing,M,Double Sculls,Christoph Zerbst,SILVER,Austria
,,,,,
Rowing,M,Double Sculls,Arnold Jonke,SILVER,Austria
,,,,,
Rowing,M,Double Sculls,Nico Rienks,BRONZE,Netherlands
,,,,,
Rowing,M,Double Sculls,Henk-Jan Zwolle,BRONZE,Netherlands
,,,,,
Rowing,F,Double Sculls,Kathrin Boron,GOLD,Germany
,,,,,
Rowing,F,Double Sculls,Kerstin Köppen,GOLD,Germany
,,,,,
Rowing,F,Double Sculls,Elisabeta Lipa,SILVER,Romania
,,,,,
Rowing,F,Double Sculls,Vera Cochelea,SILVER,Romania
,,,,,
Rowing,F,Double Sculls,Huali Lu,BRONZE,China
,,,,,
Rowing,F,Double Sculls,Xiaoli Gu,BRONZE,China
,,,,,
Rowing,M,Coxless Pairs,Matthew Pinsent,GOLD,Great Britain
,,,,,
Rowing,M,Coxless Pairs,Steven Redgrave,GOLD,Great Britain
,,,,,
Rowing,M,Coxless Pairs,Colin von Ettingshausen,SILVER,Germany
,,,,,
Rowing,M,Coxless Pairs,Peter Höltzenbein,SILVER,Germany
,,,,,
Rowing,M,Coxless Pairs,Iztok Cop,BRONZE,Slovenia
,,,,,
Rowing,M,Coxless Pairs,Denis Zvegelj,BRONZE,Slovenia
,,,,,
Rowing,F,Coxless Pairs,Kathleen Heddle,GOLD,Canada
,,,,,
Rowing,F,Coxless Pairs,Marnie McBean,GOLD,Canada
,,,,,
Rowing,F,Coxless Pairs,Stefani Werremeier,SILVER,Germany
,,,,,
Rowing,F,Coxless Pairs,Ingeborg Schwerzmann,SILVER,Germany
,,,,,
Rowing,F,Coxless Pairs,Stephanie Maxwell-Pierson,BRONZE,United States
,,,,,
Rowing,F,Coxless Pairs,Anna Seaton,BRONZE,United States
,,,,,
Rowing,M,Coxed Pairs,Greg Searle,GOLD,Great Britain
,,,,,
Rowing,M,Coxed Pairs,Jonathon Searle,GOLD,Great Britain
,,,,,
Rowing,M,Coxed Pairs,Garry Herbert,GOLD,Great Britain
,,,,,
Rowing,M,Coxed Pairs,Giuseppe di Capua,SILVER,Italy
,,,,,
Rowing,M,Coxed Pairs,Carmine Abbagnale,SILVER,Italy
,,,,,
Rowing,M,Coxed Pairs,Giuseppe Abbagnale,SILVER,Italy
,,,,,
Rowing,M,Coxed Pairs,Dumitru Raducanu,BRONZE,Romania
,,,,,
Rowing,M,Coxed Pairs,Nicolaie Taga,BRONZE,Romania
,,,,,
Rowing,M,Coxed Pairs,Dimitrie Popescu,BRONZE,Romania
,,,,,
Rowing,M,Coxless Fours,Mike McKay,GOLD,Australia
,,,,,
Rowing,M,Coxless Fours,Andrew Cooper,GOLD,Australia
,,,,,
Rowing,M,Coxless Fours,Nicholas Green,GOLD,Australia
,,,,,
Rowing,M,Coxless Fours,James Tomkins,GOLD,Australia
,,,,,
Rowing,M,Coxless Fours,Thomas Bohrer,SILVER,United States
,,,,,
Rowing,M,Coxless Fours,William Burden,SILVER,United States
,,,,,
Rowing,M,Coxless Fours,Jeffrey McLaughlin,SILVER,United States
,,,,,
Rowing,M,Coxless Fours,Patrick Manning,SILVER,United States
,,,,,
Rowing,M,Coxless Fours,Milan Jansa,BRONZE,Slovenia
,,,,,
Rowing,M,Coxless Fours,Janez Klemencic,BRONZE,Slovenia
,,,,,
Rowing,M,Coxless Fours,Saso Mirjanic,BRONZE,Slovenia
,,,,,
Rowing,M,Coxless Fours,Sadik Mujkic,BRONZE,Slovenia
,,,,,
Rowing,F,Coxless Fours,Jessica Monroe,GOLD,Canada
,,,,,
Rowing,F,Coxless Fours,Brenda Taylor,GOLD,Canada
,,,,,
Rowing,F,Coxless Fours,Kirsten Barnes,GOLD,Canada
,,,,,
Rowing,F,Coxless Fours,Kay Worthington,GOLD,Canada
,,,,,
Rowing,F,Coxless Fours,Amy Fuller,SILVER,United States
,,,,,
Rowing,F,Coxless Fours,Shelagh Donohoe,SILVER,United States
,,,,,
Rowing,F,Coxless Fours,Cindy Eckert,SILVER,United States
,,,,,
Rowing,F,Coxless Fours,Carol Feeney,SILVER,United States
,,,,,
Rowing,F,Coxless Fours,Birte Siech,BRONZE,Germany
,,,,,
Rowing,F,Coxless Fours,Gabriele Mehl,BRONZE,Germany
,,,,,
Rowing,F,Coxless Fours,Annette Hohn,BRONZE,Germany
,,,,,
Rowing,F,Coxless Fours,Antje Frank,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Dimitrie Popescu,GOLD,Romania
,,,,,
Rowing,M,Coxed Fours,Nicolaie Taga,GOLD,Romania
,,,,,
Rowing,M,Coxed Fours,Viorel Talapan,GOLD,Romania
,,,,,
Rowing,M,Coxed Fours,Dumitru Raducanu,GOLD,Romania
,,,,,
Rowing,M,Coxed Fours,Iulica Ruican,GOLD,Romania
,,,,,
Rowing,M,Coxed Fours,Karsten Finger,SILVER,Germany
,,,,,
Rowing,M,Coxed Fours,Ralf Brudel,SILVER,Germany
,,,,,
Rowing,M,Coxed Fours,Uwe Kellner,SILVER,Germany
,,,,,
Rowing,M,Coxed Fours,Hendrik Reiher,SILVER,Germany
,,,,,
Rowing,M,Coxed Fours,Thoralf Peters,SILVER,Germany
,,,,,
Rowing,M,Coxed Fours,Michal Cieslak,BRONZE,Poland
,,,,,
Rowing,M,Coxed Fours,Wojciech Jankowski,BRONZE,Poland
,,,,,
Rowing,M,Coxed Fours,Maciej Lasicki,BRONZE,Poland
,,,,,
Rowing,M,Coxed Fours,Jacek Streich,BRONZE,Poland
,,,,,
Rowing,M,Coxed Fours,Tomasz Tomiak,BRONZE,Poland
,,,,,
Rowing,M,Quadruple Sculls,Andreas Hajek,GOLD,Germany
,,,,,
Rowing,M,Quadruple Sculls,Michael Steinbach,GOLD,Germany
,,,,,
Rowing,M,Quadruple Sculls,André Willms,GOLD,Germany
,,,,,
Rowing,M,Quadruple Sculls,Stephan Volkert,GOLD,Germany
,,,,,
Rowing,M,Quadruple Sculls,Kjetil Undset,SILVER,Norway
,,,,,
Rowing,M,Quadruple Sculls,Per Sætersdal,SILVER,Norway
,,,,,
Rowing,M,Quadruple Sculls,Rolf Thorsen,SILVER,Norway
,,,,,
Rowing,M,Quadruple Sculls,Lars Bjønness,SILVER,Norway
,,,,,
Rowing,M,Quadruple Sculls,Filippo Soffici,BRONZE,Italy
,,,,,
Rowing,M,Quadruple Sculls,Alessandro Corona,BRONZE,Italy
,,,,,
Rowing,M,Quadruple Sculls,Rossano Galtarossa,BRONZE,Italy
,,,,,
Rowing,M,Quadruple Sculls,Gianluca Farina,BRONZE,Italy
,,,,,
Rowing,F,Quadruple Sculls,Kristina Mundt,GOLD,Germany
,,,,,
Rowing,F,Quadruple Sculls,Kerstin Müller,GOLD,Germany
,,,,,
Rowing,F,Quadruple Sculls,Sybille Schmidt,GOLD,Germany
,,,,,
Rowing,F,Quadruple Sculls,Birgit Peter,GOLD,Germany
,,,,,
Rowing,F,Quadruple Sculls,Vera Cochelea,SILVER,Romania
,,,,,
Rowing,F,Quadruple Sculls,Anisoara Dobre-Balan,SILVER,Romania
,,,,,
Rowing,F,Quadruple Sculls,Constanta Burcica-Pipota,SILVER,Romania
,,,,,
Rowing,F,Quadruple Sculls,Doina Ignat,SILVER,Romania
,,,,,
Rowing,F,Quadruple Sculls,Antonina Zelikovich,BRONZE,Soviet Union
,,,,,
Rowing,F,Quadruple Sculls,Tatyana Ustyuzhanina,BRONZE,Soviet Union
,,,,,
Rowing,F,Quadruple Sculls,Yelena Khloptseva,BRONZE,Soviet Union
,,,,,
Rowing,F,Quadruple Sculls,Yekaterina Khodotovich,BRONZE,Soviet Union
,,,,,
Rowing,M,Coxed Eights,John Wallace,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Darren Barber,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Andrew Crosby,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Mike Forgeron,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Robert Marland,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Terrence Paul,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Derek Porter,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Michael Rascher,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Bruce Robertson,GOLD,Canada
,,,,,
Rowing,M,Coxed Eights,Iulica Ruican,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,loan lulian Vizitiu,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,Valentin Robu,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,Viorel Talapan,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,Claudiu Gabriel Marin,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,Vasile lonel Mastacan,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,Vasile Dorel Nastase,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,Danut Dobre,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,Marin Gheorghe,SILVER,Romania
,,,,,
Rowing,M,Coxed Eights,Bahne Rabe,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,Frank Richter,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,Detlef Kirchhoff,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,Manfred Klein,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,Armin Eichholz,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,Roland Baar,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,Hans Sennewald,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,Thorsten Streppelhoff,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,Ansgar Wessling,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Kay Worthington,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Kirsten Barnes,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Megan Delehanty,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Kathleen Heddle,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Shannon Crawford,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Brenda Taylor,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Lesley Thompson,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Jessica Monroe,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Marnie McBean,GOLD,Canada
,,,,,
Rowing,F,Coxed Eights,Viorica Lepadatu,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,Viorica Neculai,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,Ioana Olteanu,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,Doina Liliana Snep-Balan,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,Maria Paduraru,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,Adriana Bazon-Chelariu,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,lulia Bobeica,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,Elena Georgescu,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,Doina Robu,SILVER,Romania
,,,,,
Rowing,F,Coxed Eights,Kathrin Haacker,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Christiane Harzendorf,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Sylvia Dördelmann,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Cerstin Petersmann,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Daniela Neunast,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Dana Pyritz,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Annegret Strauch,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Judith Zeidler,BRONZE,Germany
,,,,,
Rowing,F,Coxed Eights,Ute Wagner-Stange,BRONZE,Germany
,,,,,
Sailing,M,Windsurfing,Franck David,GOLD,France
,,,,,
Sailing,M,Windsurfing,Michael Gebhardt,SILVER,United States
,,,,,
Sailing,M,Windsurfing,Lars Kleppich,BRONZE,Australia
,,,,,
Sailing,F,Windsurfing,Barbara Kendall,GOLD,New Zealand
,,,,,
Sailing,F,Windsurfing,Xiaodong Zhang,SILVER,China
,,,,,
Sailing,F,Windsurfing,Dorien de Vries,BRONZE,Netherlands
,,,,,
Sailing,M,One Person Dinghy,José van der Ploeg,GOLD,Spain
,,,,,
Sailing,M,One Person Dinghy,Brian Ledbetter,SILVER,United States
,,,,,
Sailing,M,One Person Dinghy,Craig Monk,BRONZE,New Zealand
,,,,,
Sailing,F,One Person Dinghy,Linda Andersen,GOLD,Norway
,,,,,
Sailing,F,One Person Dinghy,Natalia Via Dufresne,SILVER,Spain
,,,,,
Sailing,F,One Person Dinghy,Julia Trotman,BRONZE,United States
,,,,,
Sailing,M,Two Person Dinghy,Jordi Calafat,GOLD,Spain
,,,,,
Sailing,M,Two Person Dinghy,Kiko Sánchez,GOLD,Spain
,,,,,
Sailing,M,Two Person Dinghy,Morgan Reeser,SILVER,United States
,,,,,
Sailing,M,Two Person Dinghy,Kevin Burnham,SILVER,United States
,,,,,
Sailing,M,Two Person Dinghy,Tònu Tòniste,BRONZE,Estonia
,,,,,
Sailing,M,Two Person Dinghy,Toomas Tòniste,BRONZE,Estonia
,,,,,
Sailing,F,Two Person Dinghy,Teresa Zabell,GOLD,Spain
,,,,,
Sailing,F,Two Person Dinghy,Patri Guerra,GOLD,Spain
,,,,,
Sailing,F,Two Person Dinghy,Leslie Egnot,SILVER,New Zealand
,,,,,
Sailing,F,Two Person Dinghy,Jan Shearer,SILVER,New Zealand
,,,,,
Sailing,F,Two Person Dinghy,Jennifer Isler,BRONZE,United States
,,,,,
Sailing,F,Two Person Dinghy,Pamela Healy,BRONZE,United States
,,,,,
Sailing,M,Mixed Two Person Keelboat,Hal Haenel,GOLD,United States
,,,,,
Sailing,M,Mixed Two Person Keelboat,Mark Reynolds,GOLD,United States
,,,,,
Sailing,M,Mixed Two Person Keelboat,Don Cowie,SILVER,New Zealand
,,,,,
Sailing,M,Mixed Two Person Keelboat,Rod Davis,SILVER,New Zealand
,,,,,
Sailing,M,Mixed Two Person Keelboat,Ross MacDonald,BRONZE,Canada
,,,,,
Sailing,M,Mixed Two Person Keelboat,Eric Jespersen,BRONZE,Canada
,,,,,
Sailing,M,Tornado (Mixed Multihull),Yves Loday,GOLD,France
,,,,,
Sailing,M,Tornado (Mixed Multihull),Nicolas Hénard,GOLD,France
,,,,,
Sailing,M,Tornado (Mixed Multihull),Randy Smyth,SILVER,United States
,,,,,
Sailing,M,Tornado (Mixed Multihull),Keith Notary,SILVER,United States
,,,,,
Sailing,M,Tornado (Mixed Multihull),John Forbes,BRONZE,Australia
,,,,,
Sailing,M,Tornado (Mixed Multihull),Mitch Booth,BRONZE,Australia
,,,,,
Sailing,M,Mixed Two Person Heavyweight Dinghy,Luis Doreste,GOLD,Spain
,,,,,
Sailing,M,Mixed Two Person Heavyweight Dinghy,Manri Manrique,GOLD,Spain
,,,,,
Sailing,M,Mixed Two Person Heavyweight Dinghy,Stephen Bourdow,SILVER,United States
,,,,,
Sailing,M,Mixed Two Person Heavyweight Dinghy,Paul Foerster,SILVER,United States
,,,,,
Sailing,M,Mixed Two Person Heavyweight Dinghy,Jens Bojsen-Møller,BRONZE,Denmark
,,,,,
Sailing,M,Mixed Two Person Heavyweight Dinghy,Jørgen Bojsen-Møller,BRONZE,Denmark
,,,,,
Sailing,M,Mixed Three Person Keelboat,Steen Secher,GOLD,Denmark
,,,,,
Sailing,M,Mixed Three Person Keelboat,Jesper Seier,GOLD,Denmark
,,,,,
Sailing,M,Mixed Three Person Keelboat,Jesper Bank,GOLD,Denmark
,,,,,
Sailing,M,Mixed Three Person Keelboat,James Brady,SILVER,United States
,,,,,
Sailing,M,Mixed Three Person Keelboat,Doug Kern,SILVER,United States
,,,,,
Sailing,M,Mixed Three Person Keelboat,Kevin Mahaney,SILVER,United States
,,,,,
Sailing,M,Mixed Three Person Keelboat,Robert Cruickshank,BRONZE,Great Britain
,,,,,
Sailing,M,Mixed Three Person Keelboat,Lawrie Smith,BRONZE,Great Britain
,,,,,
Sailing,M,Mixed Three Person Keelboat,Ossie Stewart,BRONZE,Great Britain
,,,,,
Shooting,M,10m Air Pistol,Yifu Wang,GOLD,China
,,,,,
Shooting,M,10m Air Pistol,Sergey Pyzhyanov,SILVER,Soviet Union
,,,,,
Shooting,M,10m Air Pistol,Sorin Babii,BRONZE,Romania
,,,,,
Shooting,F,10m Air Pistol,Marina Logvinenko-Dobrancheva,GOLD,Soviet Union
,,,,,
Shooting,F,10m Air Pistol,Jasna Sekaric,SILVER,Yugoslavia
,,,,,
Shooting,F,10m Air Pistol,Maria Grozdeva,BRONZE,Bulgaria
,,,,,
Shooting,M,10m Air Rifle,Yuri Fedkin,GOLD,Soviet Union
,,,,,
Shooting,M,10m Air Rifle,Franck Badiou,SILVER,France
,,,,,
Shooting,M,10m Air Rifle,Johann Riederer,BRONZE,Germany
,,,,,
Shooting,F,10m Air Rifle,Kab-Soon Yeo,GOLD,South Korea
,,,,,
Shooting,F,10m Air Rifle,Vesela Lecheva,SILVER,Bulgaria
,,,,,
Shooting,F,10m Air Rifle,Aranka Binder,BRONZE,Yugoslavia
,,,,,
Shooting,M,10m Running Target,Michael Jakosits,GOLD,Germany
,,,,,
Shooting,M,10m Running Target,Anatoly Asrabyev,SILVER,Soviet Union
,,,,,
Shooting,M,10m Running Target,Lubos Racansky,BRONZE,Czechoslovakia
,,,,,
Shooting,M,25m Rapid-Fire Pistol,Ralf Schumann,GOLD,Germany
,,,,,
Shooting,M,25m Rapid-Fire Pistol,Afanasijs Kuzmins,SILVER,Latvia
,,,,,
